City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,nadym,65.5333,72.5167,258.82,96,100,2.14,RU,1669746242
142,kalaleh,37.3807,55.4916,283.93,76,0,2.06,IR,1669746243
143,matara,5.9485,80.5353,297.88,86,65,1.59,LK,1669746243
144,tasiilaq,65.6145,-37.6368,276.24,96,100,11.6,GL,1669746244
145,mangrol,21.1167,70.1167,297.0,41,100,3.34,IN,1669746245
146,wanning,18.8003,110.3967,297.45,88,7,1.22,CN,1669746245
147,cherskiy,68.75,161.3,253.47,97,100,6.24,RU,1669746246
148,bredasdorp,-34.5322,20.0403,293.22,67,14,2.11,ZA,1669746247
149,manavalakurichi,8.1333,77.3,298.31,85,46,2.27,IN,1669746248
150,dingle,10.9995,122.6711,297.51,91,35,3.35,PH,1669746248
151,severo-kurilsk,50.6789,156.125,274.65,97,100,11.19,RU,1669746249
152,torbay,47.6666,-52.7314,275.24,74,75,8.75,CA,1669746250
153,yarada,17.65,83.2667,294.33,94,9,1.03,IN,1669746251
154,valdepenas,38.7621,-3.3848,281.4,52,56,1.7,ES,1669746252
155,nago,26.5881,127.9761,298.4,89,8,3.71,JP,1669746224
156,sur,22.5667,59.5289,297.96,57,0,1.75,OM,1669746047
157,khanpur,28.6453,70.6567,291.81,20,50,2.01,PK,1669746253
158,harper,4.375,-7.7169,299.42,78,91,2.09,LR,1669746254
159,vila,42.0304,-8.1588,279.64,88,100,0.84,PT,1669746255
160,sioux lookout,50.1001,-91.917,268.19,63,75,4.63,CA,1669746256
161,mogadishu,2.0371,45.3438,300.14,80,35,7.88,SO,1669746256
162,hithadhoo,-0.6,73.0833,300.84,73,92,4.63,MV,1669746257
163,port elizabeth,-33.918,25.5701,296.54,85,0,2.57,ZA,1669746259
164,terra boa,-23.7681,-52.4442,297.77,61,85,2.39,BR,1669746260
165,lompoc,34.6391,-120.4579,289.05,62,0,4.12,US,1669746193
166,quelimane,-17.8786,36.8883,295.91,94,99,2.38,MZ,1669746175
167,marystown,47.1666,-55.1483,273.29,67,51,9.01,CA,1669746262
168,thinadhoo,0.5333,72.9333,300.53,73,88,2.83,MV,1669746263
169,anju,39.6178,125.6647,265.18,32,46,7.85,KP,1669746263
170,providencia,28.7167,-111.5833,296.6,60,0,5.1,MX,1669746264
171,lodwar,3.1191,35.5973,302.71,39,85,7.44,KE,1669746266
172,kralendijk,12.15,-68.2667,302.14,70,40,6.69,BQ,1669746267
173,hovd,48.0056,91.6419,251.72,70,0,1.25,MN,1669746268
174,houma,29.5958,-90.7195,300.93,89,75,7.72,US,1669746269
175,berezovyy,51.6667,135.7,259.25,96,100,1.0,RU,1669746269
176,mahebourg,-20.4081,57.7,297.31,78,40,1.54,MU,1669746270
177,camaqua,-30.8511,-51.8122,298.29,64,97,5.15,BR,1669746271
178,leningradskiy,69.3833,178.4167,264.02,79,24,4.24,RU,1669746271
179,redmond,47.674,-122.1215,275.0,90,100,0.89,US,1669746082
180,mumbwa,-14.9783,27.0619,292.45,82,59,1.54,ZM,1669746272
181,urumqi,43.801,87.6005,252.68,65,0,2.0,CN,1669746121
182,fortuna,40.5982,-124.1573,280.36,94,0,3.09,US,1669746273
183,narasannapeta,18.4167,84.05,294.78,70,9,2.61,IN,1669746274
184,moree,-29.4667,149.85,292.3,70,1,4.63,AU,1669746275
185,gulu,2.7746,32.299,294.02,75,90,1.25,UG,1669746275
186,darnah,32.767,22.6367,290.44,68,50,6.39,LY,1669746276
187,tiksi,71.6872,128.8694,239.7,99,46,2.06,RU,1669746276
188,sarkikaraagac,38.0794,31.3664,281.88,72,31,1.37,TR,1669746277
189,harsud,22.1,76.7333,291.68,48,48,2.61,IN,1669746278
190,mudon,16.2578,97.7164,298.1,88,100,1.14,MM,1669746279
191,slochteren,53.2208,6.8055,280.92,92,100,2.06,NL,1669746279
192,coos bay,43.3665,-124.2179,279.39,97,100,5.14,US,1669746250
193,arraial do cabo,-22.9661,-42.0278,298.07,83,75,9.26,BR,1669746280
194,mirabad,30.4362,61.8383,288.88,43,2,4.13,AF,1669746281
195,berlevag,70.8578,29.0864,275.12,75,75,5.14,NO,1669746281
196,iqaluit,63.7506,-68.5145,248.0,70,20,7.72,CA,1669746218
197,macusani,-14.0833,-70.4333,280.06,70,91,3.0,PE,1669746282
198,touros,-5.1989,-35.4608,301.21,64,93,5.7,BR,1669746283
199,pitimbu,-7.4706,-34.8086,302.48,65,89,5.73,BR,1669746284
200,shenjiamen,29.9576,122.298,284.75,80,100,14.8,CN,1669746285
201,kodiak,57.79,-152.4072,271.88,51,0,6.17,US,1669746285
202,thompson,55.7435,-97.8558,258.24,78,100,9.77,CA,1669746286
203,clarence town,-32.5833,151.7833,291.4,86,55,0.74,AU,1669746287
204,agadir,30.4202,-9.5982,291.4,61,0,2.24,MA,1669746287
205,cayenne,4.9333,-52.3333,297.17,94,75,2.57,GF,1669746042
206,buala,-8.145,159.5921,299.08,83,97,1.35,SB,1669746288
207,koungou,-12.7336,45.2042,299.99,74,0,3.09,YT,1669746289
208,hambantota,6.1241,81.1185,296.34,100,89,1.54,LK,1669746290
209,bubaque,11.2833,-15.8333,300.46,57,58,4.02,GW,1669746290
210,paris,48.8534,2.3488,281.53,93,100,2.06,FR,1669746019
211,peniche,39.3558,-9.3811,286.18,81,80,3.19,PT,1669746291
212,mount gambier,-37.8333,140.7667,281.98,93,38,1.35,AU,1669746292
213,manaquiri,-3.3167,-60.35,304.4,45,90,2.45,BR,1669746292
214,jiangyou,31.7667,104.7167,280.93,52,100,1.71,CN,1669746293
215,norman wells,65.282,-126.8329,233.17,67,20,1.03,CA,1669746294
216,vanavara,60.34,102.2797,252.79,98,100,2.46,RU,1669746295
217,kerema,-7.9631,145.7785,298.41,86,98,0.99,PG,1669746296
218,kununurra,-15.7667,128.7333,299.14,94,74,0.51,AU,1669746297
219,ulaanbaatar,47.9077,106.8832,245.22,63,0,0.0,MN,1669746228
220,frolishchi,56.4211,42.6533,261.72,96,76,1.2,RU,1669746298
221,port lincoln,-34.7333,135.8667,286.4,79,8,3.45,AU,1669746003
222,tsiroanomandidy,-18.7667,46.0333,295.88,72,73,1.4,MG,1669746298
223,angoram,-4.0625,144.0661,295.94,99,80,0.63,PG,1669746299
224,hokitika,-42.7167,170.9667,286.83,84,85,1.94,NZ,1669746300
225,bhag,29.0415,67.8239,293.28,17,0,1.28,PK,1669746301
226,inuvik,68.3499,-133.7218,245.63,76,100,1.03,CA,1669746178
227,kurilsk,45.2333,147.8833,278.51,92,100,6.57,RU,1669746302
228,krasnoselkup,65.7,82.4667,254.21,99,97,2.5,RU,1669746303
229,cidreira,-30.1811,-50.2056,296.19,79,34,6.7,BR,1669746306
230,buin,-33.7333,-70.75,302.83,27,0,6.05,CL,1669746307
231,camacha,33.0833,-16.3333,289.83,59,75,3.09,PT,1669746308
232,kampene,-3.6,26.6667,293.29,97,98,0.59,CD,1669746309
233,akureyri,65.6835,-18.0878,270.11,86,0,2.57,IS,1669746066
234,saskylakh,71.9167,114.0833,245.39,98,100,4.03,RU,1669746310
235,broken hill,-31.95,141.4333,288.03,51,0,5.78,AU,1669746311
236,andenes,69.3143,16.1194,277.55,75,75,4.12,NO,1669746312
237,laguna,38.421,-121.4238,286.47,54,0,4.12,US,1669746132
238,stavyshche,50.4,29.5333,272.97,91,100,3.58,UA,1669746313
239,bengkulu,-3.8004,102.2655,297.6,90,100,1.28,ID,1669746314
240,cabedelo,-6.9811,-34.8339,302.52,65,90,5.17,BR,1669746314
241,gat,31.61,34.7642,290.59,100,16,1.67,IL,1669746316
242,bahia blanca,-38.7196,-62.2724,300.51,38,23,9.92,AR,1669746316
243,wajir,1.7471,40.0573,303.13,45,0,3.6,KE,1669746320
244,agbor,6.2518,6.1934,300.85,60,57,1.86,NG,1669746321
245,roros,62.5747,11.3842,271.06,86,75,1.54,NO,1669746321
246,chitrakonda,18.1167,82.0833,289.83,71,13,1.14,IN,1669746324
247,bakchar,57.0186,82.0711,247.83,95,81,1.88,RU,1669746331
248,wukari,7.85,9.7833,300.28,24,4,2.09,NG,1669746332
249,la ronge,55.1001,-105.2842,257.29,66,75,7.72,CA,1669746333
250,barcelos,41.5388,-8.6151,285.33,85,100,0.96,PT,1669746334
251,christchurch,-43.5333,172.6333,291.45,69,52,2.57,NZ,1669746306
252,bathsheba,13.2167,-59.5167,299.49,78,75,5.14,BB,1669746336
253,qaanaaq,77.484,-69.3632,247.29,78,15,2.39,GL,1669746337
254,montague,42.5356,-72.5351,278.43,62,59,1.7,US,1669746337
255,tigil,57.8,158.6667,259.06,89,81,2.65,RU,1669746338
256,ginir,7.1333,40.7,287.61,39,51,1.53,ET,1669746339
257,kilindoni,-7.9139,39.6668,299.36,80,76,4.56,TZ,1669746339
258,kathu,7.9178,98.3332,303.57,83,81,2.36,TH,1669746340
259,maniitsoq,65.4167,-52.9,272.61,88,97,4.05,GL,1669746340
260,grafton,42.207,-71.6856,279.42,61,20,3.09,US,1669746341
261,pangody,65.85,74.4859,257.99,93,99,2.32,RU,1669746341
262,iquitos,-3.7481,-73.2472,303.17,79,75,1.03,PE,1669746342
263,channel-port aux basques,47.5702,-59.1367,272.22,68,82,11.59,CA,1669746343
264,camargo,27.6667,-105.1667,294.02,24,3,4.02,MX,1669746343
265,medea,36.2642,2.7539,279.5,85,25,1.62,DZ,1669746344
266,lokosovo,61.1333,74.8167,248.82,99,94,1.57,RU,1669746345
267,ahipara,-35.1667,173.1667,289.84,94,92,3.42,NZ,1669746345
268,luderitz,-26.6481,15.1594,290.89,79,69,4.12,NA,1669746346
269,sitka,57.0531,-135.33,269.09,46,20,3.6,US,1669746346
270,baracoa,20.3467,-74.4958,301.45,63,62,3.8,CU,1669746347
271,sambava,-14.2667,50.1667,296.95,80,0,1.02,MG,1669746348
272,alto piquiri,-24.0281,-53.4406,300.37,53,59,0.28,BR,1669746348
273,okhotsk,59.3833,143.3,256.87,93,100,8.03,RU,1669746349
274,pridonskoy,51.6841,39.0727,267.46,86,0,4.0,RU,1669746349
275,strathroy,42.9551,-81.6223,280.16,68,100,6.29,CA,1669746350
276,zeya,53.75,127.2667,247.82,88,100,2.06,RU,1669746351
277,gunjur,13.2019,-16.7339,302.19,48,0,3.09,GM,1669746351
278,ixtapa,20.7,-105.2,299.72,44,75,1.54,MX,1669746352
279,santa cruz del sur,20.7147,-77.9956,304.35,53,95,4.82,CU,1669746352
280,college,64.8569,-147.8028,247.92,79,0,1.54,US,1669746153
281,clyde river,70.4692,-68.5914,242.28,76,0,5.14,CA,1669746353
282,lazaro cardenas,17.9583,-102.2,301.88,57,16,2.23,MX,1669746158
283,tangier,35.7806,-5.8137,286.79,88,0,1.03,MA,1669746354
284,husavik,66.0449,-17.3389,273.73,73,98,6.72,IS,1669746355
285,souris,49.6172,-100.2612,267.07,80,100,7.42,CA,1669746355
286,bandarbeyla,9.4942,50.8122,298.82,70,6,7.43,SO,1669746356
287,ostrovnoy,68.0531,39.5131,270.66,92,87,2.89,RU,1669746357
288,kautokeino,69.0125,23.0412,270.23,92,98,8.02,NO,1669746358
289,yazd,31.8972,54.3675,285.21,40,0,1.03,IR,1669746358
290,pangnirtung,66.1451,-65.7125,256.15,85,100,4.63,CA,1669746359
291,yar-sale,66.8333,70.8333,256.85,99,99,1.47,RU,1669746360
292,miri,4.4148,114.0089,297.23,94,40,1.03,MY,1669746361
293,lavrentiya,65.5833,-171.0,269.54,96,100,4.41,RU,1669746362
294,kankan,10.3854,-9.3057,301.69,26,8,0.89,GN,1669746363
295,fayaoue,-20.65,166.5333,300.39,79,83,3.52,NC,1669746364
296,alvin,29.4238,-95.2441,301.0,87,100,6.69,US,1669746185
297,santa cruz,-17.8,-63.1667,311.18,28,20,6.69,BO,1669746264
298,kutum,14.2,24.6667,296.71,20,35,4.3,SD,1669746366
299,zhangjiakou,40.81,114.8794,258.61,27,0,7.24,CN,1669746367
300,banda aceh,5.5577,95.3222,298.59,84,96,2.85,ID,1669746304
301,ancud,-41.8697,-73.8203,285.77,67,91,3.3,CL,1669746370
302,krasnaya polyana,56.242,51.1442,260.6,96,92,1.25,RU,1669746371
303,mayo,38.8876,-76.5119,284.63,64,0,3.6,US,1669746372
304,korla,41.7597,86.1469,264.57,28,67,1.57,CN,1669746372
305,walvis bay,-22.9575,14.5053,291.68,68,82,5.14,NA,1669746375
306,panaba,21.2833,-88.2667,305.61,40,18,5.41,MX,1669746375
307,ulaangom,49.9811,92.0667,246.66,92,67,1.8,MN,1669746376
308,beinamar,8.6698,15.3813,298.89,25,13,2.29,TD,1669746377
309,victoria,22.2855,114.1577,298.25,86,4,1.79,HK,1669746344
310,talisay,10.2447,123.8494,300.16,89,75,3.6,PH,1669746377
311,corrente,-3.7367,-43.3394,306.91,35,100,1.4,BR,1669746379
312,trinidad,-14.8333,-64.9,309.14,44,44,6.17,BO,1669746380
313,manavgat,36.7867,31.4431,289.81,66,11,3.17,TR,1669746381
314,teahupoo,-17.8333,-149.2667,298.13,78,46,5.43,PF,1669746382
315,kondinskoye,59.6481,67.41,252.81,94,90,2.3,RU,1669746383
316,tura,25.5198,90.2201,290.21,87,0,1.56,IN,1669746384
317,aracatuba,-21.2089,-50.4328,304.25,42,40,4.12,BR,1669746385
318,la grande,45.3246,-118.0877,272.17,85,97,2.48,US,1669746386
319,kaeo,-35.1,173.7833,291.11,96,87,2.62,NZ,1669746386
320,lorengau,-2.0226,147.2712,300.5,72,79,2.81,PG,1669746387
321,kysyl-syr,63.8986,122.7617,235.91,99,99,2.38,RU,1669746388
